output_seq_len,seed,mse,mae,timestamp,model_shuffix
96,42,0.4471510946750641,0.4222489595413208,2025-01-14 12:08:01.560235,o96_s42_lr0.0005
96,5424,0.4669710397720337,0.4408453404903412,2025-01-14 14:06:29.029425,o96_s5424_lr0.0005
96,510,0.4793711602687835,0.4410989284515381,2025-01-14 14:19:08.345674,o96_s510_lr0.0005
96,6657,0.4761147201061249,0.4383835792541504,2025-01-14 14:25:41.724128,o96_s6657_lr0.0005
96,74751,0.4867665767669678,0.446911096572876,2025-01-14 14:35:20.237610,o96_s74751_lr0.0005
96,42,0.4471510946750641,0.4222489595413208,2025-01-14 15:28:38.369632,o96_s42_lr0.0005
96,42,0.549556314945221,0.4665044248104095,2025-01-14 21:24:58.131039,o96_s42_l2_lr0.0005
96,42,0.484002947807312,0.4451596736907959,2025-01-14 21:33:01.071134,o96_s42_l3_lr0.0005
96,42,0.4876308441162109,0.4411624670028686,2025-01-14 21:41:53.941220,o96_s42_l4_lr0.0005
96,510,0.4762887954711914,0.4328362941741943,2025-01-14 21:48:44.499307,o96_s510_l2_lr0.0005
96,510,0.512890636920929,0.4578711092472076,2025-01-14 21:56:00.233242,o96_s510_l3_lr0.0005
96,510,0.5011284351348877,0.4495550394058227,2025-01-14 22:07:24.527608,o96_s510_l4_lr0.0005
96,5424,0.4898004829883575,0.4464237689971924,2025-01-14 22:13:01.459980,o96_s5424_l2_lr0.0005
96,5424,0.468247652053833,0.4289332926273346,2025-01-14 22:22:41.511714,o96_s5424_l3_lr0.0005
96,5424,0.5316691398620605,0.4597187042236328,2025-01-14 22:40:30.548201,o96_s5424_l4_lr0.0005
96,6657,0.4814318716526031,0.4428275525569916,2025-01-14 22:46:58.793310,o96_s6657_l2_lr0.0005
96,6657,0.5513814091682434,0.4775087833404541,2025-01-14 22:58:40.812397,o96_s6657_l3_lr0.0005
96,6657,0.4953722059726715,0.4503346383571625,2025-01-14 23:09:24.364129,o96_s6657_l4_lr0.0005
96,74751,0.5110804438591003,0.4548099935054779,2025-01-14 23:15:42.109590,o96_s74751_l2_lr0.0005
96,74751,0.5369228720664978,0.473285049200058,2025-01-14 23:25:45.275721,o96_s74751_l3_lr0.0005
96,74751,0.4634724855422973,0.4289138317108154,2025-01-14 23:36:29.820387,o96_s74751_l4_lr0.0005
240,42,0.7175352573394775,0.5434413552284241,2025-01-14 23:24:51.339531,o240_s42_l2_lr0.0005
240,42,0.7609061002731323,0.5611386895179749,2025-01-14 23:46:12.103139,o240_s42_l3_lr0.0005
240,42,0.685980498790741,0.5300378799438477,2025-01-15 00:10:48.456687,o240_s42_l4_lr0.0005
240,510,0.7014607191085815,0.5297213792800903,2025-01-15 00:25:12.937461,o240_s510_l2_lr0.0005
240,510,0.8267871141433716,0.5859558582305908,2025-01-15 00:40:40.352118,o240_s510_l3_lr0.0005
240,510,0.8147751092910767,0.5744432806968689,2025-01-15 01:11:40.971891,o240_s510_l4_lr0.0005
240,5424,0.7318033576011658,0.5456324219703674,2025-01-15 01:32:50.042110,o240_s5424_l2_lr0.0005
240,5424,0.8056136965751648,0.6020506024360657,2025-01-15 02:10:28.280602,o240_s5424_l3_lr0.0005
240,5424,0.8700668811798096,0.6200269460678101,2025-01-15 02:25:55.136497,o240_s5424_l4_lr0.0005
240,6657,0.7622669339179993,0.5484298467636108,2025-01-15 02:50:55.166183,o240_s6657_l2_lr0.0005
240,6657,0.6736058592796326,0.5277811884880066,2025-01-15 03:11:51.231113,o240_s6657_l3_lr0.0005
240,6657,0.8481953740119934,0.604095995426178,2025-01-15 03:33:40.690293,o240_s6657_l4_lr0.0005
240,74751,0.7209867238998413,0.5439618825912476,2025-01-15 03:55:03.866130,o240_s74751_l2_lr0.0005
240,74751,0.7085931301116943,0.5355467200279236,2025-01-15 04:21:20.292357,o240_s74751_l3_lr0.0005
240,74751,0.7275092601776123,0.53884357213974,2025-01-15 04:58:30.647630,o240_s74751_l4_lr0.0005
240,42,0.7566381096839905,0.5564607381820679,2025-01-16 00:16:26.293013,o240_s42_lr0.0005
240,510,0.7467374205589294,0.553754985332489,2025-01-16 00:26:01.393175,o240_s510_lr0.0005
240,5424,0.7329718470573425,0.5432910919189453,2025-01-16 00:39:13.473985,o240_s5424_lr0.0005
240,6657,0.9291530251502992,0.6529611945152283,2025-01-16 00:45:50.274020,o240_s6657_lr0.0005
240,74751,0.7513406276702881,0.5541310906410217,2025-01-16 00:56:41.176146,o240_s74751_lr0.0005
96,42,0.5198286175727844,0.469855397939682,2025-01-16 22:14:11.388020,lstm_attention_o96_s42_lr0.0005
96,42,0.4885231554508209,0.4503211677074432,2025-01-16 22:41:37.667232,lstm_attention_o96_s42_lr0.0005
96,510,0.4872666299343109,0.446711778640747,2025-01-16 22:47:11.423859,lstm_attention_o96_s510_lr0.0005
96,5424,0.4937424659729004,0.458085298538208,2025-01-16 22:54:08.375371,lstm_attention_o96_s5424_lr0.0005
96,6657,0.5275573134422302,0.4753066599369049,2025-01-16 23:04:42.539579,lstm_attention_o96_s6657_lr0.0005
240,42,0.8054853677749634,0.5966637134552002,2025-01-16 23:08:28.098204,lstm_attention_o240_s42_lr0.0005
96,74751,0.564107358455658,0.4999955594539642,2025-01-16 23:11:46.803287,lstm_attention_o96_s74751_lr0.0005
96,42,0.4734507501125335,0.4402247369289398,2025-01-16 23:20:16.927101,lstm_attention_cnn_o96_s42_lr0.0005
96,510,0.504831075668335,0.4606644213199615,2025-01-16 23:26:26.663603,lstm_attention_cnn_o96_s510_lr0.0005
96,5424,0.5153448581695557,0.4609397947788238,2025-01-16 23:33:28.949571,lstm_attention_cnn_o96_s5424_lr0.0005
96,6657,0.4967378675937652,0.4545437395572662,2025-01-16 23:40:58.672609,lstm_attention_cnn_o96_s6657_lr0.0005
240,510,0.7875750064849854,0.592944324016571,2025-01-16 23:46:18.966095,lstm_attention_o240_s510_lr0.0005
96,74751,0.5291090607643127,0.4739027917385101,2025-01-16 23:46:48.953694,lstm_attention_cnn_o96_s74751_lr0.0005
240,5424,0.8124765157699585,0.5944927334785461,2025-01-17 00:20:07.008392,lstm_attention_o240_s5424_lr0.0005
240,6657,0.775543212890625,0.5864773392677307,2025-01-17 00:44:03.189990,lstm_attention_o240_s6657_lr0.0005
240,74751,0.8820636868476868,0.6298028230667114,2025-01-17 01:15:07.568398,lstm_attention_o240_s74751_lr0.0005
240,42,0.8396874666213989,0.6119289398193359,2025-01-17 01:46:31.281781,lstm_attention_cnn_o240_s42_lr0.0005
240,510,0.8077642917633057,0.5971856713294983,2025-01-17 02:21:16.884367,lstm_attention_cnn_o240_s510_lr0.0005
240,5424,0.8598468899726868,0.6086557507514954,2025-01-17 02:55:03.804428,lstm_attention_cnn_o240_s5424_lr0.0005
240,6657,0.7318533658981323,0.5458711981773376,2025-01-17 03:18:54.288183,lstm_attention_cnn_o240_s6657_lr0.0005
240,74751,0.8301640748977661,0.6044833660125732,2025-01-17 03:44:04.704575,lstm_attention_cnn_o240_s74751_lr0.0005
96,42,0.46689572930336,0.4277452528476715,2025-01-18 21:10:25.096372,lstm_cnn_o96_s42_lr0.0005
96,510,0.5386395454406738,0.4587390720844269,2025-01-18 21:16:23.426907,lstm_cnn_o96_s510_lr0.0005
96,5424,0.4596502780914306,0.4185219705104828,2025-01-18 21:23:57.420560,lstm_cnn_o96_s5424_lr0.0005
240,42,0.7311715483665466,0.5399410724639893,2025-01-18 21:25:29.857356,lstm_cnn_o240_s42_lr0.0005
96,6657,0.4403853714466095,0.4154583513736725,2025-01-18 21:28:28.597890,lstm_cnn_o96_s6657_lr0.0005
96,74751,0.5436873435974121,0.471069186925888,2025-01-18 21:34:32.643983,lstm_cnn_o96_s74751_lr0.0005
240,510,0.8048456311225891,0.5747948884963989,2025-01-18 21:46:06.028076,lstm_cnn_o240_s510_lr0.0005
240,5424,0.7721347808837891,0.5667510628700256,2025-01-18 21:59:57.698911,lstm_cnn_o240_s5424_lr0.0005
240,6657,0.746428906917572,0.556692898273468,2025-01-18 22:12:36.807996,lstm_cnn_o240_s6657_lr0.0005
240,74751,0.7209154367446899,0.5420201420783997,2025-01-18 22:25:55.312983,lstm_cnn_o240_s74751_lr0.0005
